cluster_9,0,1,Total,CG_Percentage,OR_Percentage
0,2146,941,3087,0.3048266925817946,0.6951733074182054
1,2649,2007,4656,0.43105670103092786,0.5689432989690721
2,1260,275,1535,0.1791530944625407,0.8208469055374593
3,5432,5995,11427,0.5246346372626236,0.4753653627373764
4,395,2030,2425,0.8371134020618557,0.16288659793814433
5,2252,6199,8451,0.7335226600402319,0.2664773399597681
6,1434,331,1765,0.1875354107648725,0.8124645892351274
7,3328,1981,5309,0.37313995102655867,0.6268600489734413
8,1319,446,1765,0.2526912181303116,0.7473087818696884
