cluster_6,0,1,Total,CG_Percentage,OR_Percentage
0,7595,7263,14858,0.4888275676403284,0.5111724323596716
1,3805,7524,11329,0.6641362874040074,0.33586371259599257
2,480,2169,2649,0.8187995469988675,0.1812004530011325
3,3474,2086,5560,0.3751798561151079,0.624820143884892
4,2355,625,2980,0.20973154362416108,0.790268456375839
5,2506,538,3044,0.17674113009198422,0.8232588699080158
