cluster_4,0,1,Total,CG_Percentage,OR_Percentage
0,5220,8268,13488,0.6129893238434164,0.38701067615658363
1,4156,2286,6442,0.3548587395218876,0.6451412604781124
2,10241,7386,17627,0.41901628184035855,0.5809837181596414
3,598,2265,2863,0.7911281872162068,0.20887181278379321
