cluster_5,0,1,Total,CG_Percentage,OR_Percentage
0,8558,7392,15950,0.463448275862069,0.5365517241379311
1,3724,2124,5848,0.36320109439124487,0.6367989056087552
2,549,2208,2757,0.8008705114254625,0.19912948857453755
3,4534,7831,12365,0.6333198544278205,0.36668014557217954
4,2850,650,3500,0.18571428571428572,0.8142857142857143
