cluster_3,0,1,Total,CG_Percentage,OR_Percentage
0,14638,14270,28908,0.4936349799363498,0.5063650200636503
1,712,2596,3308,0.7847642079806529,0.21523579201934703
2,4865,3339,8204,0.4069965870307167,0.5930034129692833
