cluster_7,0,1,Total,CG_Percentage,OR_Percentage
0,3252,7298,10550,0.6917535545023696,0.3082464454976303
1,448,2113,2561,0.8250683326825459,0.17493166731745413
2,1490,328,1818,0.18041804180418042,0.8195819581958196
3,3408,2113,5521,0.3827205216446296,0.6172794783553704
4,7122,6929,14051,0.49313216141199917,0.5068678385880009
5,1326,283,1609,0.17588564325668116,0.8241143567433188
6,3169,1141,4310,0.26473317865429236,0.7352668213457076
