Number of Clusters (k),Davies-Bouldin Index
2.0,11.062280372325272
3.0,8.872533989728975
4.0,7.482673987355451
5.0,7.283265858932599
6.0,8.031302602640197
7.0,7.445999834299551
8.0,5.590454434934843
9.0,5.57628318486581
10.0,5.4814976574348835
